activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,lwtoa_ad,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.lwtoa_ad.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,lwup_sfc_clr,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.lwup_sfc_clr.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,lwup_sfc,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.lwup_sfc.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,mid_cld_amt,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.mid_cld_amt.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,olr_clr,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.olr_clr.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,olr,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.olr.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,omega,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.omega.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,prec_conv,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.prec_conv.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,precip,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.precip.nc
DECK,,ESM4,ESM4_1pctCO2_D1,monthly,atmos,,,,prec_ls,011601-012012,5yr,,gfdl.ncrc4-intel16-prod-openmp,,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp/pp/atmos/ts/monthly/5yr/atmos.011601-012012.prec_ls.nc
