activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198601-198612,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198601-198612.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,198001-198012,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198001-198012.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198601-198612,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198601-198612.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,198001-198012,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198001-198012.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.evspsbl.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198001-198012,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198001-198012.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,hfss,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.hfss.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198001-198012,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198001-198012.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.evspsbl.nc
